epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,547.285,0.64131,0.39968,0.94051,0.82549,0.89484,0.90163,0.73473,0.8268,0.60582,0.96714,0.0005512,0.0005512,0.0005512
70,554.757,0.63433,0.39208,0.93569,0.82778,0.85331,0.88436,0.70856,0.84063,0.63015,0.98272,0.0005446,0.0005446,0.0005446
71,562.23,0.63907,0.3958,0.93622,0.8378,0.85916,0.899,0.73414,0.81658,0.59574,0.96911,0.000538,0.000538,0.000538
72,569.626,0.62684,0.38993,0.93414,0.8519,0.82164,0.88732,0.72509,0.82237,0.61388,0.96632,0.0005314,0.0005314,0.0005314
73,577.098,0.6315,0.38826,0.93393,0.85462,0.87059,0.89841,0.72974,0.8282,0.58513,0.97272,0.0005248,0.0005248,0.0005248
74,584.605,0.62909,0.39024,0.93454,0.84047,0.84324,0.85342,0.69333,0.8268,0.67584,0.97515,0.0005182,0.0005182,0.0005182
75,592.134,0.63405,0.38668,0.93396,0.86143,0.85113,0.88924,0.72055,0.82363,0.60043,0.97068,0.0005116,0.0005116,0.0005116
76,599.79,0.62682,0.3863,0.93624,0.82178,0.84176,0.88015,0.71218,0.83768,0.62462,0.98512,0.000505,0.000505,0.000505
77,607.22,0.61656,0.38267,0.93158,0.82901,0.86416,0.88672,0.72024,0.82892,0.63003,0.97788,0.0004984,0.0004984,0.0004984
78,614.693,0.61899,0.38057,0.93316,0.86172,0.84584,0.89024,0.72836,0.81696,0.60096,0.96722,0.0004918,0.0004918,0.0004918
79,622.336,0.61365,0.38145,0.93109,0.80883,0.86842,0.87396,0.71239,0.82741,0.63106,0.97112,0.0004852,0.0004852,0.0004852
80,629.603,0.61807,0.3838,0.93184,0.82828,0.88067,0.87753,0.7135,0.8258,0.6003,0.97015,0.0004786,0.0004786,0.0004786
81,637.366,0.61514,0.3761,0.92711,0.83578,0.87926,0.87962,0.71167,0.83593,0.60991,0.97664,0.000472,0.000472,0.000472
82,645.009,0.61138,0.38119,0.92969,0.8419,0.8478,0.8656,0.70084,0.83169,0.63543,0.97742,0.0004654,0.0004654,0.0004654
83,652.631,0.6006,0.37488,0.92605,0.85455,0.86026,0.87697,0.70584,0.84029,0.59996,0.97614,0.0004588,0.0004588,0.0004588
84,660.225,0.6032,0.37257,0.92715,0.83372,0.87546,0.87758,0.71219,0.83462,0.61769,0.96856,0.0004522,0.0004522,0.0004522
85,667.664,0.60031,0.36829,0.92517,0.83693,0.88534,0.88873,0.72273,0.82716,0.59946,0.97284,0.0004456,0.0004456,0.0004456
86,675.166,0.60046,0.36967,0.92487,0.8646,0.86907,0.88191,0.71569,0.82993,0.61113,0.97616,0.000439,0.000439,0.000439
87,683.035,0.59739,0.36514,0.92118,0.85794,0.86653,0.8847,0.71456,0.84693,0.59857,0.97812,0.0004324,0.0004324,0.0004324
88,690.438,0.58601,0.35554,0.92267,0.84924,0.86865,0.87185,0.70438,0.83629,0.60538,0.97636,0.0004258,0.0004258,0.0004258
89,697.979,0.59032,0.36218,0.92511,0.83772,0.88318,0.8798,0.71132,0.84556,0.60023,0.98169,0.0004192,0.0004192,0.0004192
90,705.503,0.58612,0.36173,0.91804,0.85058,0.85512,0.87601,0.71451,0.8294,0.60904,0.9722,0.0004126,0.0004126,0.0004126
91,712.92,0.58339,0.35787,0.91889,0.87112,0.82193,0.87439,0.70984,0.83446,0.60502,0.97501,0.000406,0.000406,0.000406
92,720.491,0.5827,0.35496,0.921,0.87225,0.84942,0.88553,0.71934,0.83739,0.62333,0.97595,0.0003994,0.0003994,0.0003994
93,727.815,0.58923,0.35918,0.92225,0.84473,0.8591,0.86647,0.70194,0.8345,0.62263,0.98145,0.0003928,0.0003928,0.0003928
